station_id,station_name,datetime,current_available_bikes,district,hour,rental_lag_1h,rental_lag_2h,rental_lag_24h,rental_lag_168h,rental_rolling_mean_3h,rental_rolling_mean_24h,rental_rolling_std_24h,rental_rolling_mean_7d_same_hour,available_bikes_lag_1h,available_bikes_change_1h
1620,중계구민체육센터,2025-10-31 05:00:00,0.0,미상,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2429,압구정로데오역 6번출구,2025-10-31 06:00:00,,미상,6,0.0,0.0,0.0,0.0,0.0,0.2083333333333333,0.5882299658752687,0.0,,
1620,중계구민체육센터,2025-10-31 06:00:00,0.0,미상,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4065,창동역 1번출구 앞,2025-10-31 06:00:00,,미상,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1961,신도림테크노근린공원,2025-10-31 06:00:00,5.0,미상,6,0.0,0.0,1.0,2.0,0.0,2.75,3.2066506974804976,0.8571428571428571,1.0,4.0
1620,중계구민체육센터,2025-10-31 07:00:00,0.0,미상,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4065,창동역 1번출구 앞,2025-10-31 07:00:00,,미상,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2429,압구정로데오역 6번출구,2025-10-31 07:00:00,,미상,7,0.0,0.0,2.0,2.0,0.0,0.2083333333333333,0.5882299658752687,0.8571428571428571,,
1961,신도림테크노근린공원,2025-10-31 07:00:00,6.0,미상,7,2.0,0.0,3.0,5.0,0.6666666666666666,2.7916666666666665,3.18937320633308,3.142857142857143,5.0,1.0
1620,중계구민체육센터,2025-10-31 08:00:00,0.0,미상,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4065,창동역 1번출구 앞,2025-10-31 08:00:00,,미상,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2429,압구정로데오역 6번출구,2025-10-31 08:00:00,,미상,8,0.0,0.0,2.0,1.0,0.0,0.125,0.4484272031464366,0.8571428571428571,,
1961,신도림테크노근린공원,2025-10-31 08:00:00,19.0,미상,8,2.0,2.0,7.0,9.0,1.3333333333333333,2.75,3.19306313340545,5.285714285714286,6.0,13.0
4065,창동역 1번출구 앞,2025-10-31 09:00:00,,미상,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
